Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,57.950001,58.840000,57.820000,58.389999,56.852001,8452400
2019-04-12,58.830002,58.840000,57.549999,58.049999,56.520954,7693900
2019-04-15,58.000000,58.490002,57.369999,57.450001,55.936764,5327000
2019-04-16,57.660000,58.119999,57.650002,58.110001,56.579380,3970200
2019-04-17,58.849998,58.990002,58.090000,58.430000,56.890949,4987600
2019-04-18,58.500000,58.580002,58.020000,58.169998,56.637794,4108100
2019-04-22,57.790001,57.970001,57.279999,57.750000,56.228859,4043900
2019-04-23,57.660000,58.410000,57.660000,58.240002,56.705956,4593000
2019-04-24,58.240002,58.529999,57.799999,57.849998,56.326225,3275200
2019-04-25,57.840000,58.480000,56.380001,56.709999,55.216251,5557400
2019-04-26,56.560001,57.470001,56.480000,57.110001,55.605717,3714100
2019-04-29,57.240002,57.900002,57.049999,57.730000,56.209385,3215500
2019-04-30,57.820000,58.570000,57.759998,58.290001,56.754639,4030300
2019-05-01,58.200001,58.509998,57.110001,57.180000,56.010185,5629800
2019-05-02,57.320000,58.080002,57.250000,57.660000,56.480362,3426100
2019-05-03,57.730000,58.139999,57.520000,57.799999,56.617500,4673000
2019-05-06,56.980000,57.970001,56.740002,57.730000,56.548931,4105400
2019-05-07,57.250000,57.500000,56.330002,57.169998,56.000389,4784800
2019-05-08,56.770000,57.080002,56.180000,56.450001,55.295116,3641400
2019-05-09,56.139999,56.730000,55.689999,56.590000,55.432255,5003500
2019-05-10,56.250000,56.869999,55.060001,56.619999,55.461643,3737800
2019-05-13,55.439999,55.520000,54.070000,54.799999,53.678871,5223700
2019-05-14,54.900002,55.630001,54.750000,55.250000,54.119671,2463400
2019-05-15,54.580002,55.369999,54.090000,55.049999,53.923759,2998900
2019-05-16,55.139999,55.959999,55.139999,55.380001,54.247009,2731400
2019-05-17,54.759998,55.540001,54.490002,54.889999,53.767036,3969900
2019-05-20,54.000000,54.669998,53.750000,54.279999,53.169514,3722800
2019-05-21,54.680000,55.029999,54.590000,54.830002,53.708263,2816800
2019-05-22,54.490002,54.840000,53.889999,54.060001,52.954018,3616700
2019-05-23,53.650002,54.950001,53.240002,54.000000,52.895241,5278900
2019-05-24,54.419998,54.619999,53.709999,54.119999,53.012787,2502800
2019-05-28,54.139999,54.630001,53.869999,53.880001,52.777699,3454100
2019-05-29,53.750000,53.750000,52.810001,53.209999,52.121399,3929600
2019-05-30,53.380001,53.799999,52.869999,53.029999,51.945084,3775200
2019-05-31,52.470001,52.799999,51.310001,51.500000,50.446388,5615100
2019-06-03,51.480000,52.700001,51.410000,52.099998,51.034111,7244600
2019-06-04,52.849998,54.369999,52.820000,54.310001,53.198902,7619300
2019-06-05,54.849998,55.230000,54.240002,54.939999,53.816010,6379100
2019-06-06,55.060001,55.220001,54.360001,54.689999,53.571125,6192000
2019-06-07,54.919998,55.849998,54.919998,55.070000,53.943352,4234800
2019-06-10,55.500000,55.900002,54.650002,54.730000,53.610306,3312900
2019-06-11,55.020000,55.310001,54.480000,54.880001,53.757240,2833700
2019-06-12,55.049999,55.480000,54.900002,55.450001,54.315578,3856200
2019-06-13,55.689999,57.240002,55.669998,56.520000,55.363689,6300400
2019-06-14,56.570000,56.630001,55.779999,55.990002,54.844532,4382500
2019-06-17,55.779999,55.939999,55.259998,55.669998,54.531075,4057300
2019-06-18,55.950001,56.520000,55.459999,56.029999,54.883713,3642500
2019-06-19,56.279999,56.560001,55.950001,56.360001,55.206959,3196800
2019-06-20,56.849998,56.880001,55.330002,55.970001,54.824940,5055700
2019-06-21,56.000000,56.860001,55.560001,55.990002,54.844532,8573500
2019-06-24,56.099998,56.230000,55.669998,56.070000,54.922890,2896000
2019-06-25,56.049999,56.720001,55.860001,55.919998,54.775959,3579600
2019-06-26,56.070000,56.810001,55.840000,56.380001,55.226551,4437700
2019-06-27,56.750000,57.419998,56.500000,56.820000,55.657547,4375400
2019-06-28,56.889999,57.419998,56.700001,56.750000,55.588982,8034800
2019-07-01,57.299999,57.900002,57.250000,57.790001,56.607704,5020600
2019-07-02,58.599998,59.220001,58.090000,58.540001,57.342361,6837100
2019-07-03,59.000000,59.619999,58.889999,59.150002,57.939880,3303900
2019-07-05,59.150002,59.389999,57.849998,58.700001,57.499088,5896900
2019-07-08,58.900002,59.669998,58.840000,59.369999,58.155380,7800600
2019-07-09,59.570000,59.990002,58.560001,58.959999,57.753765,7870200
2019-07-10,59.340000,59.669998,58.759998,59.470001,58.253338,7781300
2019-07-11,60.250000,60.790001,59.470001,60.160000,58.929218,12695600
2019-07-12,60.230000,62.240002,60.020000,61.650002,60.388737,10045700
2019-07-15,61.570000,62.410000,61.310001,61.700001,60.437714,5889000
2019-07-16,61.880001,63.259998,61.720001,63.160000,61.867840,10319700
2019-07-17,63.230000,63.270000,62.189999,62.250000,60.976460,7532000
2019-07-18,61.770000,62.660000,61.639999,62.660000,61.378071,4482200
2019-07-19,62.860001,63.090000,60.860001,60.910000,59.663872,7902700
2019-07-22,61.450001,61.630001,61.060001,61.290001,60.036102,4786300
2019-07-23,61.450001,63.110001,61.270000,63.090000,61.799274,7452200
2019-07-24,62.389999,63.439999,62.380001,63.160000,62.265079,5718800
2019-07-25,62.770000,63.130001,61.840000,62.230000,61.348255,5351700
2019-07-26,62.250000,62.660000,61.910000,62.160000,61.279247,3857900
2019-07-29,61.980000,62.720001,61.849998,62.459999,61.574997,4972200
2019-07-30,62.310001,62.680000,62.090000,62.630001,61.742592,2910000
2019-07-31,62.500000,62.529999,60.680000,61.040001,60.175121,7229600
2019-08-01,61.310001,61.770000,59.770000,60.320000,59.465321,5838000
2019-08-02,59.900002,60.529999,59.480000,60.130001,59.278015,3739500
2019-08-05,59.369999,59.389999,57.029999,57.820000,57.000744,8855700
2019-08-06,58.490002,58.900002,58.090000,58.790001,57.957001,4704500
2019-08-07,58.020000,59.549999,57.430000,59.240002,58.400623,7648800
2019-08-08,59.930000,60.450001,59.400002,60.029999,59.179428,5414000
2019-08-09,59.689999,60.160000,59.070000,59.529999,58.686512,5606400
2019-08-12,59.070000,59.299999,58.270000,58.660000,57.828838,4788300
2019-08-13,58.200001,59.919998,58.169998,58.840000,58.006290,6156200
2019-08-14,57.919998,58.060001,56.700001,57.230000,56.419102,7662800
2019-08-15,57.470001,57.700001,56.779999,57.110001,56.300800,4360400
2019-08-16,57.430000,58.360001,57.220001,58.040001,57.217625,4226100
2019-08-19,58.680000,59.000000,58.139999,58.189999,57.365498,3503500
2019-08-20,58.020000,58.169998,57.590000,57.680000,56.862724,2513700
2019-08-21,58.250000,58.570000,57.849998,58.009998,57.188049,3014900
2019-08-22,58.130001,58.279999,57.470001,57.959999,57.138756,3436400
2019-08-23,57.820000,58.070000,55.840000,56.200001,55.403698,5921400
2019-08-26,56.759998,56.869999,55.950001,56.279999,55.482563,3414500
2019-08-27,56.630001,56.680000,55.570000,56.139999,55.344543,7702800
2019-08-28,55.840000,57.169998,55.799999,56.680000,55.876896,5264100
2019-08-29,57.119999,58.130001,57.060001,57.880001,57.059895,4101400
2019-08-30,58.150002,58.860001,57.590000,57.860001,57.040176,4268300
2019-09-03,57.439999,57.910000,56.650002,57.290001,56.478252,6601700
2019-09-04,57.619999,58.040001,56.740002,57.230000,56.419102,4939600
2019-09-05,57.660000,58.939999,57.549999,58.189999,57.365498,4461600
2019-09-06,58.700001,58.959999,57.889999,57.980000,57.158474,5741100
2019-09-09,57.980000,58.450001,57.560001,58.110001,57.286636,5740500
2019-09-10,58.080002,58.720001,57.799999,58.639999,57.809124,4409600
2019-09-11,58.619999,59.180000,58.139999,58.779999,57.947140,4163700
2019-09-12,58.779999,59.889999,58.779999,59.439999,58.597790,5188700
2019-09-13,60.000000,60.580002,59.610001,60.009998,59.159714,7548400
2019-09-16,58.029999,59.130001,57.250000,59.070000,58.233032,9556400
2019-09-17,58.310001,59.770000,58.160000,59.369999,58.528782,8176700
2019-09-18,59.450001,59.500000,58.669998,59.310001,58.469631,4075600
2019-09-19,59.250000,59.250000,58.310001,58.689999,57.858414,3569900
2019-09-20,58.799999,59.180000,58.490002,58.630001,57.799267,6139400
2019-09-23,58.310001,58.660000,57.840000,58.020000,57.197906,4387100
2019-09-24,58.619999,58.910000,57.560001,58.000000,57.178192,5047700
2019-09-25,58.040001,58.490002,57.680000,58.310001,57.483799,3193100
2019-09-26,58.110001,58.810001,57.930000,58.779999,57.947140,3795400
2019-09-27,58.970001,59.380001,58.160000,58.279999,57.454224,4395800
